Date,Country,League,Home Team,Away Team,Handicap,Home Odds,Away Odds,1 Prob,X Prob,Away Prob,Home Score,Away Score,Decision,Result
20201223,Portugal,1,Sporting Braga,Rio Ave,-0.75,0.8,1.05,0.64,0.22,0.14,3,0,H,1
20201223,Spain,1,Real Valladolid,Barcelona,1.25,0.93,0.97,0.15,0.19,0.66,0,3,H,-1
20201223,Spain,1,Villareal,Athletic Club,-0.25,0.81,1.09,0.44,0.3,0.26,1,1,H,-0.5
20201223,Brazil,2,CSA,Vitoria,-0.5,1.02,0.77,0.38,0.35,0.27,3,0,A,-1
20201223,Brazil,2,Nautico,Cuiaba,-0.25,1,0.8,0.52,0.18,0.3,2,0,H,1
20201223,Brazil,2,Ponte Preta,Cruzeiro,0,0.87,0.92,0.21,0.43,0.36,2,1,A,-1
20201223,North America,Champions League,Tigres UANL,Los Angeles,-0.25,0.97,0.87,0.33,0.25,0.42,2,1,A,-1
20201223,Japan,Cup(Emperor's),Blaublitz Akita,Fukuyama City FC,-1.5,0.87,0.97,0.74,0.13,0.13,3,1,A,-1
20201223,Japan,Cup(Emperor's),Tokushima Vortis,Honda,-0.75,0.95,0.9,0.44,0.44,0.12,3,0,A,-1
20201223,Turkey,1,BB Erzurumspor,Denizlispor,0,0.82,1.02,0.39,0.31,0.3,1,2,H,-1
20201223,Turkey,1,Alanyaspor,Yeni Malatyaspor,-0.75,0.97,0.87,0.7,0.15,0.15,1,1,H,-1
20201223,Czech,1,Zbrojovka Brno,Banik Ostrava,0.25,1.05,0.8,0.19,0.25,0.56,0,1,A,1
20201223,Czech,1,Mlada Boleslav,Slovacko,0.25,1,0.85,0.25,0,0.75,2,3,A,1
20201223,Czech,1,Zlin,Teplice,-0.5,1.02,0.82,0.47,0.27,0.26,2,3,H,-1
20201223,Czech,1,Karvina,Pardubice,-0.5,0.9,0.95,0.55,0.28,0.17,0,2,H,-1
20201223,Netherland,1,AZ,Vitesse,-0.5,0.95,0.9,0.61,0.26,0.13,3,1,H,1
